time,value,group,percentage
01/12/2011,1725.5,F,0.000700995
01/01/2012,1901163.9,A,0.775960181
01/01/2012,166507.7,B,0.06796013
01/01/2012,327361,C,0.133612415
01/01/2012,9364.3,D,0.00382204
01/01/2012,45682.3,E,0.018645234
01/01/2012,1395.9,F,0.000569737
01/02/2012,1904650.4,A,0.777676958
01/02/2012,165129.5,B,0.067423086
01/02/2012,324586.3,C,0.132529984
01/02/2012,9201.6,D,0.003757053
01/02/2012,45585.9,E,0.018612919
01/02/2012,1338.1,F,0.000546352
01/03/2012,1930664.8,A,0.775286218
01/03/2012,168543.4,B,0.067681026
01/03/2012,333830.5,C,0.134054439
01/03/2012,8985.6,D,0.003608297
01/03/2012,48236.3,E,0.01936998
01/03/2012,826,F,0.000331692
01/04/2012,1928785.1,A,0.771625926
01/04/2012,179479.4,B,0.071802171
01/04/2012,334094.7,C,0.13365726
01/04/2012,8989,D,0.003596121
01/04/2012,48289.5,E,0.019318601
01/04/2012,1472.3,F,0.000589005
01/05/2012,1979504,A,0.775562926
01/05/2012,180136.2,B,0.07057675
01/05/2012,336504.4,C,0.131841278
01/05/2012,8681.2,D,0.003401265
01/05/2012,47519,E,0.018617782
01/05/2012,2570.2,F,0.001006996
01/06/2012,1989286.3,A,0.773853921
01/06/2012,183979,B,0.071569824
01/06/2012,349226.1,C,0.135852736
01/06/2012,8648.7,D,0.003364438
01/06/2012,39482.4,E,0.015359081
01/06/2012,2798.3,F,0.001088569
01/07/2012,2002157.3,A,0.774594979
01/07/2012,185760.4,B,0.071867017
01/07/2012,348486.3,C,0.134822443
01/07/2012,8651,D,0.0033469
01/07/2012,39724.6,E,0.01536866
01/07/2012,2602.1,F,0.001006701
01/08/2012,2014584.8,A,0.771533367
01/08/2012,193305.3,B,0.074030882
01/08/2012,353608.8,C,0.135422936
01/08/2012,8345.2,D,0.003195994
01/08/2012,41300,E,0.015816821
01/08/2012,2142.6,F,0.00082056
01/09/2012,2036629.8,A,0.771804279
01/09/2012,198575.8,B,0.075252583
01/09/2012,356616.5,C,0.135143923
01/09/2012,8312.2,D,0.003150004
01/09/2012,38656.2,E,0.014649211
01/09/2012,2422.5,F,0.000918034
01/10/2012,2047379,A,0.772130211
01/10/2012,200001.9,B,0.075426928
01/10/2012,358759.6,C,0.135299388
01/10/2012,8313.8,D,0.003135392
01/10/2012,37143.7,E,0.014008043
01/10/2012,2679.2,F,0.00101041
01/11/2012,2080202.6,A,0.769071305
01/11/2012,214973.1,B,0.079477664
01/11/2012,364797.5,C,0.134869214
01/11/2012,8308.8,D,0.003071845
01/11/2012,36542.1,E,0.013509973
01/11/2012,1984,F,0.000733504
01/12/2012,2100727.8,A,0.762912533
01/12/2012,227623.2,B,0.082664966
01/12/2012,383380.3,C,0.139230621
01/12/2012,8043.5,D,0.002921124
01/12/2012,33788.3,E,0.012270756
01/12/2012,2129.9,F,0.000773507
01/01/2013,2102753.8,A,0.764835407
01/01/2013,224257.1,B,0.081569117
01/01/2013,377263.4,C,0.137222154
